filename,num_players,num_messages_sent,turns
real_data/number_of_messages_experiment_1512665672.txt,18,1518,99
real_data/number_of_messages_experiment_1512665672.txt,18,1467,99
real_data/number_of_messages_experiment_1512665672.txt,18,1382,99
real_data/number_of_messages_experiment_1512665672.txt,18,1433,99
real_data/number_of_messages_experiment_1512665672.txt,18,1569,99
real_data/number_of_messages_experiment_1512665672.txt,18,1620,99
real_data/number_of_messages_experiment_1512665672.txt,18,1314,99
real_data/number_of_messages_experiment_1512665672.txt,18,1450,99
real_data/number_of_messages_experiment_1512665672.txt,18,1518,99
real_data/number_of_messages_experiment_1512665672.txt,18,1484,99
real_data/number_of_messages_experiment_1512665672.txt,18,1518,99
real_data/number_of_messages_experiment_1512665672.txt,18,1432,99
real_data/number_of_messages_experiment_1512665672.txt,18,1501,99
real_data/number_of_messages_experiment_1512665672.txt,18,1603,99
real_data/number_of_messages_experiment_1512665672.txt,18,1603,99
real_data/number_of_messages_experiment_1512665672.txt,18,1467,99
real_data/number_of_messages_experiment_1512665672.txt,18,1586,99
real_data/number_of_messages_experiment_1512665672.txt,19,1409,76
real_data/number_of_messages_experiment_1512665672.txt,19,1499,76
real_data/number_of_messages_experiment_1512665672.txt,19,1445,76
real_data/number_of_messages_experiment_1512665672.txt,19,1553,76
real_data/number_of_messages_experiment_1512665672.txt,19,1373,76
real_data/number_of_messages_experiment_1512665672.txt,19,1373,76
real_data/number_of_messages_experiment_1512665672.txt,19,1157,76
real_data/number_of_messages_experiment_1512665672.txt,19,1571,76
real_data/number_of_messages_experiment_1512665672.txt,19,1427,76
real_data/number_of_messages_experiment_1512665672.txt,19,1229,76
real_data/number_of_messages_experiment_1512665672.txt,19,1624,76
real_data/number_of_messages_experiment_1512665672.txt,19,1373,76
real_data/number_of_messages_experiment_1512665672.txt,19,1481,76
real_data/number_of_messages_experiment_1512665672.txt,19,1391,76
real_data/number_of_messages_experiment_1512665672.txt,19,1409,76
real_data/number_of_messages_experiment_1512665672.txt,19,1445,76
real_data/number_of_messages_experiment_1512665672.txt,19,1337,76
real_data/number_of_messages_experiment_1512665672.txt,19,1283,76
real_data/number_of_messages_experiment_1512665672.txt,19,1193,76
real_data/number_of_messages_experiment_1512665672.txt,20,1582,83
real_data/number_of_messages_experiment_1512665672.txt,20,1468,83
real_data/number_of_messages_experiment_1512665672.txt,20,1411,83
real_data/number_of_messages_experiment_1512665672.txt,20,1487,83
real_data/number_of_messages_experiment_1512665672.txt,20,1354,83
real_data/number_of_messages_experiment_1512665672.txt,20,1316,83
real_data/number_of_messages_experiment_1512665672.txt,20,1297,83
