filename,bits_used_for_primes,time_spent_to_shuffle_in_ns
real_data/crypto_experiment_256_bits_1512678961.txt,256,1373428759
real_data/crypto_experiment_128_bits_1512678747.txt,128,1370286345
real_data/crypto_experiment_128_bits_1512678747.txt,128,879738463
real_data/crypto_experiment_128_bits_1512678747.txt,128,1368191314
real_data/crypto_experiment_128_bits_1512678747.txt,128,861266620
real_data/crypto_experiment_128_bits_1512678747.txt,128,1374985589
real_data/crypto_experiment_128_bits_1512678747.txt,128,877892402
real_data/crypto_experiment_128_bits_1512678747.txt,128,1381774893
real_data/crypto_experiment_128_bits_1512678747.txt,128,959326160
real_data/crypto_experiment_128_bits_1512678747.txt,128,1378903562
real_data/crypto_experiment_128_bits_1512678747.txt,128,872805845
real_data/crypto_experiment_128_bits_1512678747.txt,128,1366053718
real_data/crypto_experiment_128_bits_1512678747.txt,128,876414413
real_data/crypto_experiment_256_bits_1512679032.txt,256,1745391855
real_data/crypto_experiment_256_bits_1512679032.txt,256,1582595242
real_data/crypto_experiment_256_bits_1512679032.txt,256,1776514125
real_data/crypto_experiment_256_bits_1512679032.txt,256,1493604327
real_data/crypto_experiment_256_bits_1512679032.txt,256,1869061307
real_data/crypto_experiment_256_bits_1512679032.txt,256,1656075783
real_data/crypto_experiment_256_bits_1512679032.txt,256,1882515478
real_data/crypto_experiment_256_bits_1512679032.txt,256,1567191278
real_data/crypto_experiment_256_bits_1512679032.txt,256,1892162734
real_data/crypto_experiment_256_bits_1512679032.txt,256,1569542232
real_data/crypto_experiment_256_bits_1512679032.txt,256,1736860410
real_data/crypto_experiment_256_bits_1512679032.txt,256,1561680482
real_data/crypto_experiment_256_bits_1512679010.txt,256,1677399030
real_data/crypto_experiment_256_bits_1512679010.txt,256,1571655285
real_data/crypto_experiment_256_bits_1512679010.txt,256,1558639732
real_data/crypto_experiment_256_bits_1512679010.txt,256,1577824289
real_data/crypto_experiment_256_bits_1512679010.txt,256,1677551344
real_data/crypto_experiment_256_bits_1512679010.txt,256,1546288593
real_data/crypto_experiment_256_bits_1512679010.txt,256,1684518518
real_data/crypto_experiment_256_bits_1512679010.txt,256,1553150483
real_data/crypto_experiment_256_bits_1512679010.txt,256,1698619631
real_data/crypto_experiment_256_bits_1512679010.txt,256,1548509989
real_data/crypto_experiment_256_bits_1512679010.txt,256,1655916515
real_data/crypto_experiment_256_bits_1512679010.txt,256,1489329209
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,21854988025
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,20286949066
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,21202867360
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,20721978492
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,21265035580
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,20670078757
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,21801713961
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,20362526327
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,22261295225
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,20717093194
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,22169439351
real_data/crypto_experiment_1024_bits_1512679434.txt,1024,20701760370
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,21880294998
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,20767793029
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,21662436617
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,20282134946
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,21138733486
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,20859585093
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,21331863308
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,20800484929
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,21556020867
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,20604298221
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,21838814453
real_data/crypto_experiment_1024_bits_1512679495.txt,1024,20621292658
real_data/crypto_experiment_128_bits_1512678771.txt,128,1162699521
real_data/crypto_experiment_128_bits_1512678771.txt,128,1065313945
real_data/crypto_experiment_128_bits_1512678771.txt,128,1170975719
real_data/crypto_experiment_128_bits_1512678771.txt,128,1159536086
real_data/crypto_experiment_128_bits_1512678771.txt,128,1159909504
real_data/crypto_experiment_128_bits_1512678771.txt,128,1199418473
real_data/crypto_experiment_128_bits_1512678771.txt,128,1167661950
real_data/crypto_experiment_128_bits_1512678771.txt,128,1172073328
real_data/crypto_experiment_128_bits_1512678771.txt,128,1161121580
